Frequencies,ROW64,ROW128,ROW256,ROW512,ROW1024,ROW2048
50,3.18E+08,7.82E+08,1.06E+09,9.96E+08,1.11E+09,2.22E+09
100,5.15E+08,1.42E+09,2.02E+09,2.03E+09,2.06E+09,2.09E+09
150,6.98E+08,1.90E+09,2.58E+09,2.57E+09,2.81E+09,2.92E+09
200,8.24E+08,2.64E+09,3.37E+09,3.67E+09,3.93E+09,4.09E+09
250,1.17E+09,3.11E+09,3.76E+09,3.91E+09,4.26E+09,4.49E+09
300,1.03E+09,2.98E+09,3.66E+09,4.18E+09,4.28E+09,3.90E+09
350,1.11E+09,2.91E+09,3.99E+09,3.83E+09,4.04E+09,4.61E+09
400,1.11E+09,3.29E+09,4.06E+09,3.94E+09,4.38E+09,4.10E+09
450,1.15E+09,3.06E+09,4.14E+09,3.62E+09,4.51E+09,4.56E+09
500,1.32E+09,3.35E+09,3.63E+09,4.44E+09,4.66E+09,4.60E+09
,,,,,,
