Rows,Watts
1,1.278
2,1.161
3,1.333
4,1.157
5,1.337
6,1.184
7,1.321
8,1.158
9,1.217
10,1.331
11,1.185
12,1.336
13,1.135
14,1.333
15,1.203
16,1.333
17,1.165
18,1.333
19,1.147
20,1.336
21,1.182
22,1.333
23,1.154
24,1.333
25,1.203
26,1.334
27,1.184
28,1.334
29,1.161
30,1.342
31,1.201
32,1.336
33,1.181
34,1.324
35,1.163
36,1.335
37,1.1
38,1.255
39,1.335
40,1.193
41,1.332
42,1.222
43,1.332
44,1.199
45,1.336
46,1.162
47,1.334
48,1.181
49,1.23
50,1.331
51,1.209
52,1.334
53,1.185
54,1.326
55,1.343
56,1.358
57,1.129
58,1.248
59,1.334
60,1.221
61,1.224
62,1.029
63,1.335
64,1.174
65,1.341
66,1.212
67,1.341
68,1.192
69,1.343
70,1.232
71,1.337
72,1.265
73,1.336
74,1.206
75,1.34
76,1.249
77,1.331
78,1.282
79,1.332
80,1.156
81,1.336
82,1.273
83,1.335
84,1.234
85,1.336
86,1.235
87,1.333
88,1.188
89,1.333
90,1.234
91,1.335
92,1.19
93,1.336
94,1.183
95,1.333
96,1.169
97,1.337
98,1.183
99,1.334
100,1.186
101,1.337
102,1.182
103,1.334
104,1.139
105,1.334
106,1.212
107,1.329
108,1.371
109,1.346
110,1.157
111,1.337
112,1.211
113,1.34
114,1.183
115,1.191
116,1.326
117,1.192
118,1.203
119,1.339
120,1.188
121,1.337
122,1.293
123,1.336
124,1.29
125,1.334
126,1.217
127,1.333
128,1.232
129,1.334
130,1.273
131,1.335
132,1.186
133,1.162
134,1.34
135,1.268
136,1.129
137,1.334
138,1.225
139,1.336
140,1.272
141,1.336
142,1.165
143,1.134
144,1.208
145,1.32
146,1.184
147,1.336
148,1.167
149,1.339
150,1.212
151,1.336
152,1.193
153,1.184
154,1.13
155,1.129
156,1.186
157,1.334
158,1.163
159,1.216
160,1.339
161,1.174
162,1.337
163,1.166
164,1.253
165,1.335
166,1.174
167,1.337
168,1.113
169,1.185
170,1.336
171,1.157
172,1.339
173,1.212
174,1.345
175,1.183
176,1.333
177,1.165
178,1.335
179,1.208
180,1.337
181,1.197
182,1.334
183,1.17
184,1.302
185,1.34
186,1.181
187,1.334
188,1.171
189,1.296
190,1.339
191,1.17
192,1.289
193,1.182
194,1.335
195,1.298
196,1.13
197,1.212
198,1.34
199,1.185
200,1.334
201,1.167
202,1.342
203,1.216
204,1.336
205,1.188
206,1.336
207,1.131
208,1.211
209,1.342
210,1.19
211,1.252
212,1.339
213,1.182
214,1.341
215,1.162
216,1.34
217,1.142
218,1.334
219,1.184
220,1.336
221,1.176
222,1.342
223,1.13
224,1.13
225,1.333
226,1.335
227,1.143
228,1.341
229,1.191
230,1.268
231,1.338
232,1.25
233,1.335
234,1.256
235,1.336
236,1.322
237,1.337
238,1.313
239,1.336
240,1.226
241,1.344
242,1.29
243,1.131
244,1.336
245,1.25
246,1.336
247,1.29
248,1.134
249,1.331
250,1.292
251,1.208
252,1.334
253,1.166
254,1.341
255,1.189
256,1.334
257,1.13
258,1.189
259,1.344
260,1.132
261,1.205
262,1.343
263,1.19
264,1.336
265,1.174
266,1.287
267,1.334
268,1.179
269,1.306
270,1.333
271,1.136
272,1.239
273,1.224
274,1.332
275,1.32
276,1.335
277,1.225
278,1.208
279,1.344
280,1.168
281,1.335
282,1.142
283,1.132
284,1.249
285,1.334
286,1.256
287,1.132
288,1.188
289,1.336
290,1.192
291,1.334
292,1.156
293,1.334
294,1.211
295,1.335
296,1.129
297,1.307
298,1.294
299,1.336
300,1.313
301,1.335
302,1.254
303,1.336
304,1.139
305,1.334
306,1.191
307,1.336
308,1.131
309,1.134
310,1.025
311,1.131
312,1.129
313,1.284
314,1.288
315,1.129
316,1.338
317,1.299
318,1.13
319,1.182
320,1.2
321,1.131
322,1.159
323,1.335
324,1.212
325,1.34
326,1.132
327,1.29
328,1.333
329,1.304
330,1.132
331,1.129
332,1.321
333,1.331
334,1.304
335,1.129
336,1.204
337,1.334
338,1.373
339,1.135
340,1.187
341,1.207
342,1.334
343,1.32
344,1.122
345,1.21
346,1.336
347,1.131
348,1.13
349,1.12
350,1.337
351,1.171
352,1.292
353,1.335
354,1.131
355,1.334
356,0.99
357,1.129
358,1.205
359,1.334
360,1.182
361,1.213
362,1.335
363,1.182
364,1.072
365,1.294
366,1.135
367,1.129
368,1.339
369,1.322
370,1.131
371,1.183
372,1.198
373,1.336
374,1.19
375,1.194
376,1.335
377,1.307
378,1.334
379,1.172
380,1.2
381,1.123
382,1.12
383,1.132
384,1.156
385,1.25
386,1.246
387,1.129
388,1.113
389,1.131
390,1.315
391,1.201
392,1.334
393,1.131
394,1.302
395,1.204
396,1.146
397,1.131
398,1.334
399,1.294
400,1.232
401,1.337
402,1.131
403,1.13
404,1.346
405,1.299
406,1.131
407,1.132
408,1.323
409,1.125
410,1.305
411,1.13
412,1.129
413,1.003
414,1.118
415,1.131
416,1.133
417,1.343
418,1.169
419,1.257
420,1.13
421,1.107
422,1.138
423,1.336
424,1.167
425,1.302
426,1.13
427,1.129
428,1.129
429,1.339
430,1.13
431,1.13
432,0.972
433,1.13
434,1.161
435,1.218
436,1.2
437,1.181
438,1.116
439,1.13
440,1.13
441,1.34
442,1.173
443,1.155
444,1.13
445,1.334
446,1.139
447,1.197
448,1.185
449,1.334
450,1.13
451,1.339
452,1.185
453,1.237
454,1.126
455,1.131
456,1.13
457,1.334
458,1.183
459,1.311
460,1.13
461,1.13
462,1.341
463,1.138
464,1.295
465,1.139
466,1.138
467,1.15
468,1.12
469,1.135
470,1.14
471,1.296
472,1.132
473,1.135
474,1.135
475,1.34
476,1.139
477,1.298
478,1.129
479,1.13
480,1.131
481,1.337
482,1.141
483,1.3
484,1.131
485,1.13
486,1.337
487,1.138
488,1.299
489,1.129
490,1.13
491,1.133
492,1.335
493,1.132
494,1.301
495,1.13
496,1.132
497,1.131
498,1.337
499,1.108
500,1.131
501,1.334
502,1.148
503,1.296
504,1.13
505,1.135
506,1.155
507,1.34
508,1.155
509,1.298
510,1.132
511,1.13
512,1.13
513,1.132
514,1.294
515,1.13
516,1.185
517,1.193
518,1.217
519,1.136
520,1.131
521,1.134
522,1.336
523,1.145
524,1.132
525,1.336
526,1.137
527,1.295
528,1.131
529,1.131
530,1.151
531,1.138
532,1.131
533,1.14
534,1.137
535,1.171
536,1.145
537,1.231
538,1.277
539,1.297
540,1.138
541,1.165
542,1.199
543,1.126
544,1.139
545,1.086
546,1.142
547,1.164
548,1.345
549,1.135
550,1.296
551,1.131
552,1.13
553,1.162
554,1.128
555,1.305
556,1.131
557,1.176
558,1.188
559,1.334
560,1.143
561,1.296
562,1.131
563,1.132
564,1.22
565,1.335
566,1.152
567,1.303
568,1.13
569,1.144
570,1.333
571,1.146
572,1.291
